periodname,month,year,province,Fully immunised coverage (%) under 1,Fully immunised coverage (%) under 2 years,BCG coverage (%) under 1,Measles 1 coverage (%) under 1,Measles 2 coverage (%) under 2,DPT Hib Hep 3rd dose coverage (%) under 1,Child deworming 12-59 months rate (%),Stunting rate (%) in under 5s at facility,Wasting rate (%) in under 5s at facility,Percentage  children  on EBF at 6 months,Child exclusively breastfed at 6 months rate (%),Vitamin A supplement 6-11 months semester coverage (%)
22-Jan,January,2022,Central,79.3,56,84.8,83.1,57.1,85.3,5.6,0.41,0.49,85.3,85.3,8.6
22-Jan,January,2022,Copperbelt,88.3,65.8,83.8,89.5,66.3,84.5,5.2,0.42,0.14,74.4,74.4,10.3
22-Jan,January,2022,Eastern,82,61.4,80.6,82.9,61.8,89.2,5.3,0.39,0.24,73.4,73.4,11
22-Jan,January,2022,Luapula,83.9,62,78.2,84.9,62.6,96.7,11.9,1.5,0.55,69.5,69.5,19.8
22-Jan,January,2022,Lusaka,68,45.5,79.2,70.8,47.6,84.5,6.9,0.49,0.43,78.4,78.4,21.8
22-Jan,January,2022,Muchinga,77.9,64.5,76.2,79.4,65.4,81.5,8.6,0.51,0.47,77,77,15
22-Jan,January,2022,Northern,75.7,54,77,77.6,56.1,82,3.4,0.17,0.14,60.2,60.2,9.4
22-Jan,January,2022,Northwestern,70.6,69.3,77.1,68.6,68.3,75.4,6.5,0.45,0.98,61.3,61.3,10.6
22-Jan,January,2022,Southern,68.6,49.4,77,68.4,49.7,71.2,3.8,0.16,0.53,78.5,78.5,10
22-Jan,January,2022,Western,62.6,44.7,64.6,63.8,44.6,63.5,3.1,0.09,0.14,66.8,66.8,10.7
22-Feb,February,2022,Central,92.3,70.6,88.1,96.4,69.4,81.6,4.5,1.2,0.93,78,78,10.2
22-Feb,February,2022,Copperbelt,99.5,75.5,90,101.2,75.3,94.7,5,0.42,2.4,75.5,75.5,12.9
22-Feb,February,2022,Eastern,95.7,74.9,86.9,96.7,74.9,85,4.6,0.34,0.32,68.7,68.7,10.9
22-Feb,February,2022,Luapula,92.9,67.5,92.4,95.7,68.9,108.4,5.6,0.97,0.43,67,67,20.7
22-Feb,February,2022,Lusaka,85.6,62.6,86.4,85.1,62.9,88.3,7.8,0.71,0.6,79.7,79.7,24
22-Feb,February,2022,Muchinga,82.8,72.7,70,83.9,73.9,81.3,6.5,0.69,0.31,77.7,77.7,14.8
22-Feb,February,2022,Northern,83.8,63.4,89.4,86.2,63.8,81.8,3.9,0.25,0.1,70.9,70.9,8.9
22-Feb,February,2022,Northwestern,82.3,54.2,90.9,85.1,52,92.5,6.2,0.4,0.28,66.1,66.1,13.9
22-Feb,February,2022,Southern,101,77.7,92.4,102.5,77.3,87.7,5.3,0.12,0.66,77.2,77.2,13.8
22-Feb,February,2022,Western,78.3,52.7,74.2,79,52.9,58.6,3.3,0.63,0.82,70.4,70.4,9.9
22-Mar,March,2022,Central,81.7,62.4,74.1,86.4,67.6,68.6,3.2,0.44,0.36,64.8,64.8,9.7
22-Mar,March,2022,Copperbelt,93.5,74.3,87.5,94.1,75.4,94.8,4.8,0.4,1.8,68.1,68.1,12.2
22-Mar,March,2022,Eastern,87.2,69.5,76.3,88,69.6,92.6,5.6,0.13,0.12,66.9,66.9,9.7
22-Mar,March,2022,Luapula,87.4,67,86.4,88.9,67.6,92.3,6.5,0.93,0.68,69.2,69.2,13.8
22-Mar,March,2022,Lusaka,80.1,59,94.2,78.5,60.9,90.8,10.4,0.9,1.2,74.1,74.1,25.5
22-Mar,March,2022,Muchinga,73.4,61.6,57,75.3,64.3,68.5,6,0.28,0.26,74,74,18.8
22-Mar,March,2022,Northern,80.8,60.2,84.6,82.1,60.8,73.9,3.1,0.17,0.13,61.7,61.7,7
22-Mar,March,2022,Northwestern,74.6,51.3,89.6,77.1,52.3,80.6,10.3,0.69,0.31,53.7,53.7,14.3
22-Mar,March,2022,Southern,78.4,63.8,71.3,78.2,63.4,78.7,5.3,0.23,0.3,80.9,80.9,13
22-Mar,March,2022,Western,60.6,43.4,65.4,61.6,43.9,57.4,2.4,0.51,0.44,75,75,9.7
22-Apr,April,2022,Central,49.6,38.8,75,50.1,37.8,70.1,3.6,0.24,0.28,75.2,75.2,7.2
22-Apr,April,2022,Copperbelt,89.2,67.4,82.8,88.6,68.5,93.4,6,0.66,1.9,74.3,74.3,18.8
22-Apr,April,2022,Eastern,77.9,59.9,73.7,79,60.4,81.3,5.8,0.13,0.89,65.7,65.7,11.2
22-Apr,April,2022,Luapula,75.5,57.8,85.8,76.3,58.3,91.5,7.7,0.81,0.44,69.9,69.9,11.8
22-Apr,April,2022,Lusaka,74,62,83.8,79.1,61.6,85.8,7.5,0.76,0.47,79,79,24.6
22-Apr,April,2022,Muchinga,64.4,57.4,49.7,71.6,58.6,76.8,7.2,0.37,0.2,74.6,74.6,14.2
22-Apr,April,2022,Northern,50.5,34.9,71.8,51.8,36.1,61.3,3.9,0.19,0.23,54.5,54.5,8.9
22-Apr,April,2022,Northwestern,53.3,51.1,58.9,55.2,39.5,62.7,4.2,0.3,0.32,63.5,63.5,12.9
22-Apr,April,2022,Southern,68.6,57.7,71.3,69.8,57.4,79,5.9,0.11,1.7,74,74,12.8
22-Apr,April,2022,Western,51.7,40,72.1,52.8,40.2,67.1,3.3,0.87,1.2,64.5,64.5,7.8
22-May,May,2022,Central,66.6,49,82.7,69.4,48.5,70,3.1,0.64,0.3,72.1,72.1,6.7
22-May,May,2022,Copperbelt,91.3,68.2,88.8,92,68.5,93.2,6.1,0.47,0.79,77.7,77.7,13.9
22-May,May,2022,Eastern,62.1,45.3,79.9,63.4,45.2,83.1,8.1,0.09,0.06,65.1,65.1,10.3
22-May,May,2022,Luapula,77.9,60,82,78,57.4,80.7,6,1.2,0.51,73.8,73.8,10.2
22-May,May,2022,Lusaka,70,52,99.3,68.3,52.5,86.2,6.6,0.54,1.1,85,85,20.6
22-May,May,2022,Muchinga,52.4,40.4,35.3,53.4,41.4,59.5,5.8,0.25,2.6,75.5,75.5,10
22-May,May,2022,Northern,64.3,40.8,76.9,62.2,41,78.9,4.9,0.22,4.8,62.4,62.4,8.3
22-May,May,2022,Northwestern,56.9,41.8,73.3,57.3,36.7,65.4,6.8,0.41,0.11,63.3,63.3,14.2
22-May,May,2022,Southern,67.7,54,72.5,69.5,54.3,81.5,5.1,0.08,0.24,82.6,82.6,13.1
22-May,May,2022,Western,42.4,26,70.5,42.8,25.5,61.6,4.2,0.16,0.1,65.7,65.7,11.7
22-Jun,June,2022,Central,111.9,89.4,109.4,127.4,95.9,101.7,311.8,0.4,0.24,67.2,67.2,20.9
22-Jun,June,2022,Copperbelt,110.9,91.3,95.5,109.5,86.8,98.4,347.1,0.16,0.08,55.9,55.9,223.3
22-Jun,June,2022,Eastern,83.8,72,85.8,98.9,73.4,89.9,237.3,0.12,0.58,58.7,58.7,6.5
22-Jun,June,2022,Luapula,113.8,80.9,96.5,115.4,81,109.1,321.2,0.75,0.69,55.7,55.7,16.3
22-Jun,June,2022,Lusaka,86,64,104.6,87.8,70.7,93.9,77.2,0.49,0.22,68.6,68.6,109.8
22-Jun,June,2022,Muchinga,118,87.8,149.1,121.9,90.1,95.2,481.1,0.11,1.3,67.1,67.1,360.3
22-Jun,June,2022,Northern,120.3,81.3,121.1,124.1,80.7,107.1,406.2,0.17,0.1,52.8,52.8,245
22-Jun,June,2022,Northwestern,115.4,118,126.8,122.5,93.8,105.6,236.5,0.3,0.22,53.4,53.4,214.1
22-Jun,June,2022,Southern,102.5,85.4,82.9,104.9,86.7,90.2,157.4,0.07,0.28,72.1,72.1,33.1
22-Jun,June,2022,Western,140,110.5,122.1,142.2,109.8,110,265.6,1.4,0.59,52,52,235
22-Jul,July,2022,Central,69.1,54.1,83.8,82.3,55,76.6,4.7,0.4,0.39,69.5,69.5,6.4
22-Jul,July,2022,Copperbelt,86.5,68.1,83.5,86.3,66.6,87.5,5.2,0.55,0.15,73.5,73.5,11.5
22-Jul,July,2022,Eastern,69.9,59.3,79.1,81.1,61.9,80.8,6.7,0.18,0.07,66.5,66.5,9.1
22-Jul,July,2022,Luapula,86.7,68.6,81.6,85.6,65.7,94.1,21.6,0.81,1.2,71.5,71.5,16.7
22-Jul,July,2022,Lusaka,62.5,46.7,74.3,62.5,49.1,78.6,6.3,0.84,0.42,80.3,80.3,20.9
22-Jul,July,2022,Muchinga,78.3,58,66.5,80.6,58.7,80,14.7,0.19,0.17,74.5,74.5,25.4
22-Jul,July,2022,Northern,77.5,57.4,84.1,78,57.4,94.5,7.2,0.34,0.36,57.6,57.6,6.5
22-Jul,July,2022,Northwestern,68.3,60.6,68.4,71.9,60.8,78.5,10.1,0.29,0.11,64.1,64.1,19
22-Jul,July,2022,Southern,77.3,63,73.5,79.7,61.5,76.8,3.4,0.11,0.4,77.2,77.2,8.2
22-Jul,July,2022,Western,62,43.4,78.9,63.8,43.1,68.5,3.6,0.05,0.07,75.6,75.6,7.9
22-Aug,August,2022,Central,69.7,123.6,87.1,79.5,55.8,85.3,23.4,0.21,0.14,76.6,76.6,104.4
22-Aug,August,2022,Copperbelt,87.9,66.5,89.1,87.9,65.8,91.2,9.8,1,0.39,74.8,74.8,19.8
22-Aug,August,2022,Eastern,71.5,55.7,88.1,82.7,59.7,83.3,9.8,0.2,0.55,64.8,64.8,52.3
22-Aug,August,2022,Luapula,86.8,66.2,88.2,87.8,66.6,95.6,26,0.87,0.69,69.9,69.9,74.9
22-Aug,August,2022,Lusaka,75.1,55.7,90.1,72.5,60.3,93.3,13.3,0.33,0.29,82.1,82.1,21
22-Aug,August,2022,Muchinga,70.3,57.7,85.4,73.9,57.3,81.9,7.7,0.17,0.1,73.9,73.9,15.2
22-Aug,August,2022,Northern,57.5,40.1,80.1,58.2,38.5,85.4,5.8,0.23,0.26,69.6,69.6,27
22-Aug,August,2022,Northwestern,58.1,36.2,79.2,60.4,37.6,75.1,8.2,0.33,0.54,75.6,75.6,19.5
22-Aug,August,2022,Southern,76.8,64.6,77.8,79.6,65.4,76.7,9.1,0.15,0.07,83.4,83.4,44.8
22-Aug,August,2022,Western,58.2,41,77.1,59.1,40.4,65.9,3.5,0.52,0.62,69.9,69.9,11
22-Sep,September,2022,Central,73.3,60.2,89.8,83.5,61,85.1,4,0.47,0.25,66.1,66.1,8.2
22-Sep,September,2022,Copperbelt,87.8,64.9,84,87.8,65,94.7,7,0.93,0.5,75.6,75.6,14.1
22-Sep,September,2022,Eastern,77,61.4,89.8,91.7,68.7,87.4,12.4,0.06,0.06,66.5,66.5,13.9
22-Sep,September,2022,Luapula,99.6,82.6,90.3,98.4,80.3,102,7.9,0.84,0.46,61.7,61.7,16.4
22-Sep,September,2022,Lusaka,83,65.2,106.2,81.3,63.8,97.4,8.4,0.78,0.22,75.2,75.2,25.8
22-Sep,September,2022,Muchinga,78.9,64.4,86,85.9,66.5,90.7,23,0.28,0.21,75.6,75.6,28.1
22-Sep,September,2022,Northern,54.5,39.6,87.7,54.7,39.1,87.1,5.3,0.3,0.11,52.5,52.5,12.4
22-Sep,September,2022,Northwestern,63.7,40.3,79.8,67.6,41.7,75.1,7.5,0.5,0.28,67.2,67.2,18.6
22-Sep,September,2022,Southern,85.6,63.2,82.7,89.8,64.2,80.7,5.9,0.16,0.12,74.3,74.3,13.2
22-Sep,September,2022,Western,67.4,48.4,87.2,68.3,47.6,74.8,1.9,0.57,0.26,68.5,68.5,9.3
22-Oct,October,2022,Central,69,58.7,96.4,79.6,61.3,91.2,3.6,0.18,0.17,79,79,8.2
22-Oct,October,2022,Copperbelt,83.5,67.2,89.3,83.8,66.9,88.6,4.9,0.33,1.4,79.2,79.2,16.1
22-Oct,October,2022,Eastern,63.8,54.4,75.9,80.8,60.4,81,5.1,0.07,1.4,74.6,74.6,10.2
22-Oct,October,2022,Luapula,86.5,69,78.7,88.4,67.5,97.4,13.4,0.93,1.3,56.6,56.6,16.8
22-Oct,October,2022,Lusaka,67.5,55.2,83.6,70.9,55.2,88.2,6.1,0.59,4.2,82.3,82.3,23.7
22-Oct,October,2022,Muchinga,68.8,61.5,64.5,78.8,63.8,68.2,6.7,1,1.2,66.6,66.6,15.4
22-Oct,October,2022,Northern,80.9,63.2,88,84.6,57.3,93.9,4.5,0.29,0.77,61.7,61.7,6.9
22-Oct,October,2022,Northwestern,56.8,40,94.8,64.2,41.7,71.8,4.3,0.28,0.2,69,69,13.5
22-Oct,October,2022,Southern,72,60.3,77.6,81.6,62,78.3,4.7,0.3,1.3,78.1,78.1,12.4
22-Oct,October,2022,Western,59.1,41.6,74,59.8,41.9,68,2.3,0.16,0.47,72.3,72.3,8.5
22-Nov,November,2022,Central,88.2,77,116.3,113.1,94.5,109.2,295.4,0.19,0.09,23.1,23.1,281.6
22-Nov,November,2022,Copperbelt,94.9,78.9,92.5,96,82.1,94.5,256.4,0.56,1.2,67.3,67.3,177.9
22-Nov,November,2022,Eastern,57.6,58.1,78.7,85.8,70.2,87.1,498.2,0.23,0.04,54.4,54.4,209.3
22-Nov,November,2022,Luapula,112,85.3,88.4,115.7,84.1,109.2,338.2,0.53,0.66,46.2,46.2,282.8
22-Nov,November,2022,Lusaka,106.1,95.3,85.6,107.5,99.8,105.5,148.5,0.32,0.1,71.9,71.9,146
22-Nov,November,2022,Muchinga,79.7,76.2,119.4,95.8,76.1,92.3,450,0.38,0.22,74,74,346.3
22-Nov,November,2022,Northern,127.1,95.8,137.1,133.6,104.2,140.9,462,0.16,0.11,47.1,47.1,358.5
22-Nov,November,2022,Northwestern,59.3,59.5,99.9,93.1,82,92,220.7,0.24,0.12,47.2,47.2,190.7
22-Nov,November,2022,Southern,70,73.4,84.2,93.9,78.5,88,213.5,0.08,0.26,53.6,53.6,165.3
22-Nov,November,2022,Western,127.5,124.6,124.5,128.9,124.6,108.3,304.9,0.06,0.04,54.7,54.7,240.1
22-Dec,December,2022,Central,,,,,,,,,,,,
22-Dec,December,2022,Copperbelt,,,,,,,,,,,,
22-Dec,December,2022,Eastern,,,,,,,,,,,,
22-Dec,December,2022,Luapula,,,,,,,,,,,,
22-Dec,December,2022,Lusaka,,,,,,,,,,,,
22-Dec,December,2022,Muchinga,,,,,,,,,,,,
22-Dec,December,2022,Northern,,,,,,,,,,,,
22-Dec,December,2022,Northwestern,,,,,,,,,,,,
22-Dec,December,2022,Southern,,,,,,,,,,,,
22-Dec,December,2022,Western,,,,,,,,,,,,
2021,,2021,Central,84.9,60,89.8,87,58.1,86.3,52.1,0.39,0.51,65,65,49.4
2021,,2021,Copperbelt,92.9,69.3,90.2,93.1,69.1,91.5,69.2,0.36,0.59,65.9,65.9,57.1
2021,,2021,Eastern,85.1,63.2,86.7,85.5,62.7,88.6,61.4,0.54,0.46,65.5,65.5,50
2021,,2021,Luapula,91.3,68.6,91.2,90.9,69.7,94.3,64.1,1.1,0.66,61.2,61.2,60.5
2021,,2021,Lusaka,76.5,59.4,83.5,83.1,58.9,92.5,29.9,0.75,0.69,66.3,66.3,41
2021,,2021,Muchinga,81.2,66.1,82.3,82.9,67.4,77.8,77.6,0.44,0.36,70.2,70.2,60.9
2021,,2021,Northern,85.2,63,88.2,87.3,62.4,88.4,78.8,0.6,0.39,59.2,59.2,62
2021,,2021,Northwestern,81.5,57.2,82.2,80.3,54.1,81.1,42,0.45,0.48,56,56,46
2021,,2021,Southern,84.2,64.7,90,84.6,64.7,87.1,62.3,0.22,0.49,73.2,73.2,54.9
2021,,2021,Western,71,53.2,80.8,72.4,54.1,75.4,48.3,0.25,0.45,69.2,69.2,45.1
